Release,Maint. (VM),%Vmaint.,Jdiff %,LOC,%VLOC,TBR,#JF,%VJF,%ConcrC,%VConcrC,%PLC,%VPLC,%PBC,%VPBC,ACCx,VACCx,AMITC,%VAMITC,AICTC,%VAICTC,AAFTC,%VAAFTC,ADAC,%VADAC,ADEC,%VADEC,#TTC,%VTTC,#TTCR,%VTTCR,ATCC,%VATCC,#TLOC,%VTLOC,ALOCC,%VALOCC,ALOCTC,%VALOCTC
1,0.10288,--,--,1030,--,--,9,--,66.67%,--,31.58%,--,3.45%,--,1.7077020202,--,10.0909814194,--,3.1107493451,--,7.5888393841,--,1.6666666667,--,0.6666666667,--,81698,--,95118,--,13616.33,--,1330099,--,221683.17,--,16.28,--
1.1,0.10763,4.62%,+41.00%,1989,+93.11%,26,15,+66.67%,80.00%,+20.00%,41.26%,+30.65%,23.04%,+568.26%,3.2302507434,+89.16%,12.9052022872,+27.89%,1.954503565,-37.17%,9.8353624032,+29.60%,1.6666666667,+0.00%,0.8333333333,+25.00%,185553,+127.12%,245051,+157.63%,15462.75,+13.56%,3327841,+150.19%,277320.08,+25.10%,17.93,+10.16%
1.2,0.10949,1.72%,+54.00%,4041,+103.17%,52,27,+80.00%,77.78%,-2.78%,40.65%,-1.47%,18.44%,-20.00%,2.4505938122,-24.14%,11.9994080185,-7.02%,1.8827986685,-3.67%,8.6408874767,-12.14%,2.2105263158,+32.63%,1.4210526316,+70.53%,363187,+95.73%,369754,+50.89%,19115.11,+23.62%,6555037,+96.98%,345001.95,+24.41%,18.05,+0.64%
1.3,0.1026,-6.29%,+58.00%,15411,+281.37%,149,110,+307.41%,81.82%,+5.19%,50.54%,+24.34%,32.02%,+73.68%,2.3760727336,-3.04%,14.2442911671,+18.71%,2.1665762384,+15.07%,8.4030343863,-2.75%,2.2261904762,+0.71%,1.5357142857,+8.07%,949187,+161.35%,1023562,+176.82%,11299.85,-40.89%,21833385,+233.08%,259921.25,-24.66%,23,+27.45%
1.3.1,0.10317,0.55%,+1.00%,15871,+2.98%,12,111,+0.91%,81.08%,-0.90%,49.76%,-1.55%,29.66%,-7.35%,2.3654513008,-0.45%,14.5211230322,+1.94%,2.1295694353,-1.71%,8.6580704076,+3.04%,2.25,+1.07%,1.5238095238,-0.78%,1352410,+42.48%,1412888,+38.04%,16100.12,+42.48%,31237866,+43.07%,371879.36,+43.07%,23.1,+0.42%
1.3.2,0.1036,0.42%,+7.00%,17090,+7.68%,73,122,+9.91%,81.97%,+1.09%,30.05%,-39.61%,20.36%,-31.37%,2.3922306057,+1.13%,14.977626446,+3.14%,2.2647604554,+6.35%,9.0844140783,+4.92%,2.1739130435,-3.38%,1.4130434783,-7.27%,1336578,-1.17%,1377928,-2.47%,14528.02,-9.76%,32881060,+5.26%,357402.83,-3.89%,24.6,+6.51%
1.3.3,0.10329,-0.30%,+4.00%,18192,+6.45%,48,128,+4.92%,82.03%,+0.08%,41.01%,+36.46%,23.15%,+13.72%,2.4090473956,+0.70%,14.5346063276,-2.96%,2.1075979219,-6.94%,8.9484994124,-1.50%,2.2424242424,+3.15%,1.4949494949,+5.80%,1151249,-13.87%,1241922,-9.87%,11628.78,-19.96%,26500374,-19.41%,267680.55,-25.10%,23.02,-6.43%
1.4,0.13994,35.48%,+40.00%,12592,-30.78%,87,85,-33.59%,81.18%,-1.04%,42.60%,+3.89%,28.35%,+22.47%,2.4766185813,+2.80%,15.7081401071,+8.07%,2.076372349,-1.48%,10.10022809,+12.87%,2.2727272727,+1.35%,1.5151515152,+1.35%,912359,-20.75%,1055334,-15.02%,13823.62,+18.87%,22171218,-16.34%,335927.55,+25.50%,24.3,+5.57%
1.4.1,0.14106,0.80%,+2.00%,12842,+1.99%,52,85,+0.00%,80.00%,-1.45%,36.54%,-14.23%,23.90%,-15.70%,2.5098550714,+1.34%,14.7119613048,-6.34%,2.0163119653,-2.89%,9.6682392856,-4.28%,2.2424242424,-1.33%,1.4848484848,-2.00%,705617,-22.66%,878987,-16.71%,10855.65,-21.47%,16553209,-25.34%,254664.75,-24.19%,23.46,-3.46%
1.4.5,0.13913,-1.37%,+20.00%,16814,+30.93%,229,109,+28.24%,78.90%,-1.38%,33.44%,-8.47%,18.29%,-23.48%,2.4899048329,-0.79%,14.722803469,+0.07%,2.4662834386,+22.32%,8.9306227893,-7.63%,2.2530120482,+0.47%,1.5421686747,+3.86%,954175,+35.23%,1107503,+26.00%,11496.08,+5.90%,22740521,+37.38%,273982.18,+7.59%,23.83,+1.59%
1.4.6,0.10509,-24.47%,+10.00%,18678,+11.09%,103,118,+8.26%,77.12%,-2.26%,45.20%,+35.15%,22.31%,+21.96%,2.5685034311,+3.16%,14.4602384559,-1.78%,2.5196969582,+2.17%,9.1685192003,+2.66%,2.1860465116,-2.97%,1.523255814,-1.23%,926209,-2.93%,1086377,-1.91%,10769.87,-6.32%,20962290,-7.82%,243747.56,-11.04%,22.63,-5.04%
1.4.7,0.10377,-1.26%,+4.00%,18678,+0.00%,132,122,+3.39%,77.05%,-0.09%,41.69%,-7.76%,22.29%,-0.08%,2.6040150657,+1.38%,14.3991678916,-0.42%,2.3932786112,-5.02%,8.9007068901,-2.92%,2.2777777778,+4.20%,1.7222222222,+13.06%,1019819,+10.11%,1164085,+7.15%,11331.32,+5.21%,23014708,+9.79%,255718.98,+4.91%,22.57,-0.29%
